canonical_name,section,dtype,readiness,rule,worst,present,renamed,values,consistency,nan,metadata
hrstanding,CONSTANTES ET ECG,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
eghrmn,CONSTANTES ET ECG,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
qt,CONSTANTES ET ECG,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
rr,CONSTANTES ET ECG,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
qtc,CONSTANTES ET ECG,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
sodium_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
k_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
cl_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
bicarb_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
prot_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
alb_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
urea_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
urate,BILAN BIOLOGIQUE,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
creat_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
creatclr_lbstresc,BILAN BIOLOGIQUE,PASS:string,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
phos_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
iron_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
ca_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
crp,BILAN BIOLOGIQUE,PASS:string,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
gluc,BILAN BIOLOGIQUE,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
hba1c,BILAN BIOLOGIQUE,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
hdl,BILAN BIOLOGIQUE,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
ldl,BILAN BIOLOGIQUE,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
chol,BILAN BIOLOGIQUE,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
cholhdl_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
trig,BILAN BIOLOGIQUE,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
alp_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
ast_lbstresc,BILAN BIOLOGIQUE,PASS:string,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
alt_lbstresc,BILAN BIOLOGIQUE,PASS:string,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
bili_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
ggt_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
tsh_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
t3fr_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
t4fr_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
wbc,BILAN BIOLOGIQUE,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
rbc,BILAN BIOLOGIQUE,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
hgb,BILAN BIOLOGIQUE,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
hct_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
neut,BILAN BIOLOGIQUE,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
baso_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
eos,BILAN BIOLOGIQUE,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
lym_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
mono_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
mcv,BILAN BIOLOGIQUE,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
mch_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
mchc_lbstresc,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
plat,BILAN BIOLOGIQUE,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
hcg_lbstresc,BILAN BIOLOGIQUE,PASS:string,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
prolctn,BILAN BIOLOGIQUE,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
vitd,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
clozapin,BILAN BIOLOGIQUE,PASS:string,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
oxcarbaz,BILAN BIOLOGIQUE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
agemere,PERINATALITE,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
agepere,PERINATALITE,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
prembrth,PERINATALITE,PASS:Int16,READY,registered,PASS,PASS,PASS,PASS,PASS,PASS,PASS
gstabrth,PERINATALITE,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
naisstyp,PERINATALITE,PASS:Int8,READY,registered,PASS,PASS,PASS,PASS,PASS,PASS,PASS
honeonat,PERINATALITE,PASS:Int8,READY,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
brthht,PERINATALITE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
brthcirc,PERINATALITE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
apgr0106_1min,PERINATALITE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
apgr0106_5min,PERINATALITE,PASS:Int16,PARTIAL,identity,WARN,PASS,PASS,"WARN:outside [0, 4, 5, 6, 7, 8, 9, 10]: [19]","WARN:cohort value sets diverge: {'BP': {0, 4, 5, 6, 7, 8, 9,",PASS,PASS
isf01,SUICIDE,PASS:Int8,READY,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
isf01a,SUICIDE,PASS:Int16,READY,registered,PASS,PASS,PASS,PASS,PASS,PASS,PASS
isf02,SUICIDE,PASS:Int8,READY,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
isf02a,SUICIDE,PASS:Int16,READY,registered,PASS,PASS,PASS,PASS,PASS,PASS,PASS
isf03,SUICIDE,PASS:Int8,READY,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
isf03a,SUICIDE,PASS:Int16,READY,registered,PASS,PASS,PASS,PASS,PASS,PASS,PASS
isf04,SUICIDE,PASS:Int8,READY,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
isf04a,SUICIDE,PASS:Int16,READY,registered,PASS,PASS,PASS,PASS,PASS,PASS,PASS
isf05,SUICIDE,PASS:Int8,READY,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
isf05a,SUICIDE,PASS:Int16,READY,registered,PASS,PASS,PASS,PASS,PASS,PASS,PASS
isf07,SUICIDE,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
isf08,SUICIDE,PASS:Int8,READY,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
isf08a,SUICIDE,PASS:Int16,READY,identity,WARN,PASS,PASS,"WARN:outside [0, 1, 2, 3, 4, 6, 10]: [7]","WARN:cohort value sets diverge: {'BP': {0, 1, 2, 3, 4, 6, 10",PASS,PASS
isf09,SUICIDE,PASS:Int8,READY,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
isf09a,SUICIDE,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
ltsv01,SUICIDE,PASS:Int16,PARTIAL,registered,WARN,PASS,PASS,"WARN:outside [2, 3, 4, 5, 6]: [1]","WARN:cohort value sets diverge: {'BP': {1, 2, 3, 4, 5}, 'DR'",PASS,PASS
ltsv02,SUICIDE,PASS:Int16,PARTIAL,identity,WARN,PASS,PASS,PASS,PASS,WARN:sparse/empty source: ['BP=raw1.00'],PASS
ltsv03,SUICIDE,PASS:category,PARTIAL,identity,WARN,PASS,PASS,PASS:n/a,PASS:n/a,WARN:sparse/empty source: ['DR=raw1.00'],PASS
ltsv04,SUICIDE,PASS:Int16,PARTIAL,identity,WARN,PASS,PASS,PASS,PASS,"WARN:sparse/empty source: ['BP=raw1.00', 'DR=raw1.00']",PASS
ltsv05,SUICIDE,PASS:Int16,PARTIAL,identity,WARN,PASS,PASS,PASS,PASS,WARN:sparse/empty source: ['BP=raw1.00'],PASS
ltsv06,SUICIDE,PASS:Int16,PARTIAL,identity,WARN,PASS,PASS,PASS,PASS,WARN:sparse/empty source: ['BP=raw1.00'],PASS
ltsv07,SUICIDE,PASS:Int8,PARTIAL,identity,WARN,PASS,PASS,PASS,"WARN:cohort value sets diverge: {'BP': {0, 1}, 'DR': {1}}",PASS,PASS
ltsv09,SUICIDE,PASS:Int8,PARTIAL,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
ltsg01,SUICIDE,PASS:Int16,PARTIAL,registered,WARN,PASS,PASS,"WARN:outside [0, 1, 2]: [3]",PASS,PASS,PASS
ltsg02,SUICIDE,PASS:Int16,PARTIAL,registered,WARN,PASS,PASS,"WARN:outside [1, 2, 3, 7, 9, 10]: [4]","WARN:cohort value sets diverge: {'BP': {1, 2, 3, 4}, 'DR': {",PASS,PASS
ltsg03,SUICIDE,PASS:Int16,PARTIAL,identity,WARN,PASS,PASS,PASS,PASS,WARN:sparse/empty source: ['BP=raw0.99'],PASS
ltsg04,SUICIDE,PASS:Int16,PARTIAL,registered,WARN,PASS,PASS,"WARN:outside [2, 3, 4, 5, 6, 7, 8]: [1]","WARN:cohort value sets diverge: {'BP': {1, 2, 3, 4, 5}, 'DR'",PASS,PASS
ltsg05,SUICIDE,PASS:Int16,PARTIAL,identity,WARN,PASS,PASS,PASS,PASS,WARN:sparse/empty source: ['BP=raw1.00'],PASS
ltsg06,SUICIDE,PASS:Int16,PARTIAL,identity,WARN,PASS,PASS,PASS,PASS,WARN:sparse/empty source: ['BP=raw1.00'],PASS
ltsg07,SUICIDE,PASS:Int8,PARTIAL,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
cssrs01,SUICIDE,PASS:Int8,PARTIAL,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
cssrs02,SUICIDE,PASS:Int8,PARTIAL,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
cssrs03,SUICIDE,PASS:Int8,PARTIAL,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
cssrs04,SUICIDE,PASS:Int8,PARTIAL,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
cssrs05,SUICIDE,PASS:Int8,PARTIAL,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
cssrs06,SUICIDE,PASS:Int16,PARTIAL,identity,WARN,PASS,PASS,"WARN:outside [1, 2, 3, 4, 5]: [0, 7, 9]","WARN:cohort value sets diverge: {'BP': {1, 2, 3, 4, 5}, 'DR'",PASS,PASS
cssrs08,SUICIDE,PASS:Int16,PARTIAL,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
cssrs09,SUICIDE,PASS:Int16,PARTIAL,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
cssrs10,SUICIDE,PASS:Int16,PARTIAL,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
cssrs11,SUICIDE,PASS:Int16,PARTIAL,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
cssrs12,SUICIDE,PASS:Int16,PARTIAL,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
suncf_cigarettes_lt,SUBSTANCES,PASS:Int16,READY,registered,PASS,PASS,PASS,PASS,PASS,PASS,PASS
sudose_cigarettes_lt,SUBSTANCES,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
agedebut_cigarettes_lt,SUBSTANCES,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
agefin_cigarettes_lt,SUBSTANCES,PASS:float64,READY,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
cclin01,NEUROPSYCHOLOGIE,PASS:string,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
cclin03,NEUROPSYCHOLOGIE,PASS:Int8,PARTIAL,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
cclin04,NEUROPSYCHOLOGIE,PASS:Int8,PARTIAL,registered,PASS,PASS,PASS,PASS,PASS,PASS,PASS
cclin08,NEUROPSYCHOLOGIE,PASS:string,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
cclin09,NEUROPSYCHOLOGIE,PASS:Int8,PARTIAL,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
cclin10,NEUROPSYCHOLOGIE,PASS:Int8,PARTIAL,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
cclin11,NEUROPSYCHOLOGIE,PASS:Int8,PARTIAL,identity,PASS,PASS,PASS,PASS,PASS,PASS,PASS
tmta01,NEUROPSYCHOLOGIE,PASS:string,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
tmta01a,NEUROPSYCHOLOGIE,PASS:string,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
tmta01b,NEUROPSYCHOLOGIE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
tmta02a,NEUROPSYCHOLOGIE,PASS:string,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
tmta02b,NEUROPSYCHOLOGIE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
tmta03,NEUROPSYCHOLOGIE,PASS:Int16,PARTIAL,identity,WARN,PASS,PASS,"WARN:outside [0, 1, 2, 3, 4]: [117]","WARN:cohort value sets diverge: {'BP': {0, 1, 2, 3, 4}, 'SZ'",PASS,PASS
tmta04,NEUROPSYCHOLOGIE,PASS:Int16,PARTIAL,identity,WARN,PASS,PASS,"WARN:outside [0, 1, 2, 3, 4]: [7]","WARN:cohort value sets diverge: {'BP': {0, 1, 2, 3, 4}, 'SZ'",PASS,PASS
tmtb01,NEUROPSYCHOLOGIE,PASS:string,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
tmtb01a,NEUROPSYCHOLOGIE,PASS:string,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
tmtb01b,NEUROPSYCHOLOGIE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
tmtb02a,NEUROPSYCHOLOGIE,PASS:string,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
tmtb02b,NEUROPSYCHOLOGIE,PASS:float64,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
tmtb03,NEUROPSYCHOLOGIE,PASS:string,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
tmtb04,NEUROPSYCHOLOGIE,PASS:string,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
tmtb05,NEUROPSYCHOLOGIE,PASS:string,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
tmtb05a,NEUROPSYCHOLOGIE,PASS:string,PARTIAL,identity,PASS,PASS,PASS,PASS:n/a,PASS:n/a,PASS,PASS
