item,block,n_real,mean_real,mean_synth,sd_real,sd_synth,rel_sd_err,skew_real,skew_synth
mere_structure,explicit,7549,0.525,0.476,0.499,0.499,0.0001,-0.1,0.1
naisstyp,explicit,6345,0.108,0.116,0.31,0.32,0.0323,2.53,2.4
pere_structure,explicit,7262,0.504,0.429,0.5,0.495,0.0102,-0.02,0.29
suoccur_alcool,explicit,8461,0.021,0.013,0.144,0.113,0.2167,6.66,8.64
suoccur_cannabis,explicit,8461,0.017,0.015,0.13,0.12,0.0744,7.44,8.08
traumacra_mhoccur,explicit,7138,0.129,0.116,0.335,0.321,0.0434,2.21,2.39
isf09a,explicit,7955,0.144,0.113,0.634,0.494,0.221,11.06,9.7
sudose_cigarettes_lt,explicit,3572,15.52,15.879,18.844,15.89,0.1568,4.36,1.93
ctq40,explicit,8099,0.442,0.47,0.812,0.822,0.0135,1.85,1.74
isf08a,explicit,7988,0.095,0.077,0.402,0.347,0.1372,6.93,5.94
prembrth,explicit,6517,1.931,0.939,0.365,0.364,0.0011,-0.85,-0.76
