item,factor,loading,kind,home,block
egf,overall_severity,0.694,g_anchor,overall_severity,continuous
eghrmn,overall_severity,0.143,bifactor_G,metabolic,continuous
eghrmn,metabolic,0.193,primary,metabolic,continuous
eos,overall_severity,-0.026,bifactor_G,inflammatory,continuous
eos,inflammatory,0.311,primary,inflammatory,continuous
eq5d,overall_severity,0.702,g_anchor,overall_severity,continuous
eq5d0206,overall_severity,0.63,g_anchor,overall_severity,continuous
ess0109,overall_severity,0.187,bifactor_G,sleep,continuous
ess0109,sleep,0.042,primary,sleep,continuous
fast,overall_severity,0.872,g_anchor,overall_severity,continuous
fast25,overall_severity,0.73,g_anchor,overall_severity,continuous
fast26,overall_severity,0.557,g_anchor,overall_severity,continuous
fast27,overall_severity,0.685,g_anchor,overall_severity,continuous
fast28,overall_severity,0.389,g_anchor,overall_severity,continuous
fast30,overall_severity,0.639,g_anchor,overall_severity,continuous
ggt_lbstresc,overall_severity,0.133,bifactor_G,metabolic,continuous
ggt_lbstresc,metabolic,0.476,primary,metabolic,continuous
gluc,overall_severity,-0.012,bifactor_G,metabolic,continuous
gluc,metabolic,0.179,primary,metabolic,continuous
gstabrth,overall_severity,-0.026,bifactor_G,developmental_risk,continuous
gstabrth,developmental_risk,0.04,primary,developmental_risk,continuous
hba1c,overall_severity,0.162,bifactor_G,metabolic,continuous
hba1c,metabolic,0.222,primary,metabolic,continuous
hdl,overall_severity,0.166,bifactor_G,metabolic,continuous
hdl,metabolic,0.377,primary,metabolic,continuous
hrstanding,overall_severity,0.133,bifactor_G,metabolic,continuous
hrstanding,metabolic,0.127,primary,metabolic,continuous
hrsupine,overall_severity,0.143,bifactor_G,metabolic,continuous
hrsupine,metabolic,0.161,primary,metabolic,continuous
isf07,overall_severity,0.092,bifactor_G,suicidality,continuous
isf07,suicidality,0.525,primary,suicidality,continuous
ldl,overall_severity,0.057,bifactor_G,metabolic,continuous
ldl,metabolic,0.262,primary,metabolic,continuous
lvsbjind,overall_severity,0.02,g_anchor,overall_severity,continuous
lym_lbstresc,overall_severity,-0.069,bifactor_G,inflammatory,continuous
lym_lbstresc,inflammatory,0.002,primary,inflammatory,continuous
madrs,overall_severity,0.756,window,,continuous
madrs,cognition,-0.048,window,,continuous
madrs,sleep,0.127,window,,continuous
madrs,suicidality,-0.022,window,,continuous
mono_lbstresc,overall_severity,0.052,bifactor_G,inflammatory,continuous
mono_lbstresc,inflammatory,0.49,primary,inflammatory,continuous
neut,overall_severity,0.135,bifactor_G,inflammatory,continuous
neut,inflammatory,0.911,primary,inflammatory,continuous
plat,overall_severity,0.014,bifactor_G,inflammatory,continuous
plat,inflammatory,0.228,primary,inflammatory,continuous
psqi,overall_severity,0.348,bifactor_G,sleep,continuous
psqi,sleep,0.87,primary,sleep,continuous
psqi11,overall_severity,0.067,bifactor_G,sleep,continuous
psqi11,sleep,0.583,primary,sleep,continuous
psqi12,overall_severity,0.013,bifactor_G,sleep,continuous
psqi12,sleep,0.513,primary,sleep,continuous
psqi13,overall_severity,0.244,bifactor_G,sleep,continuous
psqi13,sleep,0.459,primary,sleep,continuous
psqi14,overall_severity,0.153,bifactor_G,sleep,continuous
psqi14,sleep,0.576,primary,sleep,continuous
psqi15,overall_severity,0.27,bifactor_G,sleep,continuous
psqi15,sleep,0.618,primary,sleep,continuous
psqi17,overall_severity,0.509,bifactor_G,sleep,continuous
psqi17,sleep,0.289,primary,sleep,continuous
qidsr120,overall_severity,0.732,window,,continuous
qidsr120,cognition,-0.049,window,,continuous
qidsr120,sleep,0.197,window,,continuous
qidsr120,suicidality,0.012,window,,continuous
staya,overall_severity,0.645,window,,continuous
staya,sleep,0.174,window,,continuous
sysbpstanding,overall_severity,-0.026,bifactor_G,metabolic,continuous
sysbpstanding,metabolic,0.419,primary,metabolic,continuous
sysbpsupine,overall_severity,0.008,bifactor_G,metabolic,continuous
sysbpsupine,metabolic,0.432,primary,metabolic,continuous
t3fr_lbstresc,overall_severity,-0.014,bifactor_G,metabolic,continuous
t3fr_lbstresc,metabolic,0.025,primary,metabolic,continuous
t4fr_lbstresc,overall_severity,0.022,bifactor_G,metabolic,continuous
t4fr_lbstresc,metabolic,0.018,primary,metabolic,continuous
tmt_a_time_sec,overall_severity,0.228,bifactor_G,cognition,continuous
tmt_a_time_sec,cognition,0.426,primary,cognition,continuous
tmt_b_time_sec,overall_severity,0.213,bifactor_G,cognition,continuous
tmt_b_time_sec,cognition,0.395,primary,cognition,continuous
trig,overall_severity,0.182,bifactor_G,metabolic,continuous
trig,metabolic,0.495,primary,metabolic,continuous
tsh_lbstresc,overall_severity,-0.031,bifactor_G,metabolic,continuous
tsh_lbstresc,metabolic,0.032,primary,metabolic,continuous
urate,overall_severity,0.001,bifactor_G,metabolic,continuous
urate,metabolic,0.455,primary,metabolic,continuous
urea_lbstresc,overall_severity,-0.024,bifactor_G,metabolic,continuous
urea_lbstresc,metabolic,0.137,primary,metabolic,continuous
verbal_fluency_phonemic,overall_severity,0.203,bifactor_G,cognition,continuous
verbal_fluency_phonemic,cognition,0.422,primary,cognition,continuous
verbal_fluency_semantic,overall_severity,0.253,bifactor_G,cognition,continuous
verbal_fluency_semantic,cognition,0.503,primary,cognition,continuous
vitd,overall_severity,0.036,bifactor_G,metabolic,continuous
vitd,metabolic,0.19,primary,metabolic,continuous
wais_code_std,overall_severity,0.33,bifactor_G,cognition,continuous
wais_code_std,cognition,0.431,primary,cognition,continuous
wais_digitspan_std,overall_severity,0.184,bifactor_G,cognition,continuous
wais_digitspan_std,cognition,0.317,primary,cognition,continuous
wais_ivt_index,overall_severity,0.301,bifactor_G,cognition,continuous
wais_ivt_index,cognition,0.444,primary,cognition,continuous
wais_similitudes_std,overall_severity,0.195,bifactor_G,cognition,continuous
wais_similitudes_std,cognition,0.376,primary,cognition,continuous
wbc,overall_severity,0.124,bifactor_G,inflammatory,continuous
wbc,inflammatory,0.859,primary,inflammatory,continuous
weight,overall_severity,0.093,bifactor_G,metabolic,continuous
weight,metabolic,0.915,primary,metabolic,continuous
wstcir,overall_severity,0.124,bifactor_G,metabolic,continuous
wstcir,metabolic,0.878,primary,metabolic,continuous
wurs,overall_severity,0.277,bifactor_G,developmental_risk,continuous
wurs,developmental_risk,0.322,primary,developmental_risk,continuous
autneuro_mhoccur,developmental_risk,0.134,primary,developmental_risk,non-gaussian
autneuro_mhoccur,overall_severity,0.014,bifactor_G,developmental_risk,non-gaussian
epilepsie_mhoccur,developmental_risk,0.231,primary,developmental_risk,non-gaussian
epilepsie_mhoccur,overall_severity,0.21,bifactor_G,developmental_risk,non-gaussian
honeonat,developmental_risk,0.086,primary,developmental_risk,non-gaussian
honeonat,overall_severity,-0.046,bifactor_G,developmental_risk,non-gaussian
isf01,suicidality,2.457,primary,suicidality,non-gaussian
isf01,overall_severity,0.181,bifactor_G,suicidality,non-gaussian
isf02,suicidality,2.421,primary,suicidality,non-gaussian
isf02,overall_severity,0.26,bifactor_G,suicidality,non-gaussian
isf03,suicidality,2.716,primary,suicidality,non-gaussian
isf03,overall_severity,0.37,bifactor_G,suicidality,non-gaussian
isf04,suicidality,2.648,primary,suicidality,non-gaussian
isf04,overall_severity,0.26,bifactor_G,suicidality,non-gaussian
isf05,suicidality,2.886,primary,suicidality,non-gaussian
isf05,overall_severity,0.369,bifactor_G,suicidality,non-gaussian
isf08,suicidality,1.451,primary,suicidality,non-gaussian
isf08,overall_severity,0.139,bifactor_G,suicidality,non-gaussian
isf09,suicidality,2.199,primary,suicidality,non-gaussian
isf09,overall_severity,-0.019,bifactor_G,suicidality,non-gaussian
mere_structure,developmental_risk,0.337,primary,developmental_risk,non-gaussian
mere_structure,overall_severity,-0.132,bifactor_G,developmental_risk,non-gaussian
naisstyp,developmental_risk,0.095,primary,developmental_risk,non-gaussian
naisstyp,overall_severity,0.016,bifactor_G,developmental_risk,non-gaussian
pere_structure,developmental_risk,0.27,primary,developmental_risk,non-gaussian
pere_structure,overall_severity,-0.034,bifactor_G,developmental_risk,non-gaussian
traumacra_mhoccur,developmental_risk,0.295,primary,developmental_risk,non-gaussian
traumacra_mhoccur,overall_severity,-0.095,bifactor_G,developmental_risk,non-gaussian
ctq40,developmental_risk,0.004,primary,developmental_risk,non-gaussian
ctq40,overall_severity,-0.099,bifactor_G,developmental_risk,non-gaussian
isf08a,suicidality,1.366,primary,suicidality,non-gaussian
isf08a,overall_severity,0.141,bifactor_G,suicidality,non-gaussian
prembrth,developmental_risk,0.084,primary,developmental_risk,non-gaussian
prembrth,overall_severity,0.107,bifactor_G,developmental_risk,non-gaussian
isf09a,suicidality,1.683,primary,suicidality,non-gaussian
isf09a,overall_severity,-0.02,bifactor_G,suicidality,non-gaussian
