item,factor,loading,kind,home,block
cvlt_long_delay_free_recall,cognition,1.057,primary,cognition,continuous
cvlt_short_delay_free_recall,overall_severity,0.167,bifactor_G,cognition,continuous
cvlt_short_delay_free_recall,cognition,1.053,primary,cognition,continuous
cvlt_total_recall,overall_severity,0.223,bifactor_G,cognition,continuous
cvlt_total_recall,cognition,0.984,primary,cognition,continuous
diabpstanding,overall_severity,-0.034,bifactor_G,metabolic,continuous
diabpstanding,metabolic,0.318,primary,metabolic,continuous
diabpsupine,overall_severity,0.103,bifactor_G,metabolic,continuous
diabpsupine,metabolic,0.326,primary,metabolic,continuous
egf,overall_severity,0.725,g_anchor,overall_severity,continuous
eghrmn,overall_severity,0.243,bifactor_G,metabolic,continuous
eghrmn,metabolic,0.185,primary,metabolic,continuous
eos,overall_severity,-0.062,bifactor_G,inflammatory,continuous
eos,inflammatory,0.28,primary,inflammatory,continuous
eq5d,overall_severity,0.739,g_anchor,overall_severity,continuous
eq5d0206,overall_severity,0.684,g_anchor,overall_severity,continuous
ess0109,overall_severity,0.077,bifactor_G,sleep,continuous
ess0109,sleep,0.095,primary,sleep,continuous
fagers,overall_severity,0.162,bifactor_G,substance,continuous
fagers,substance,0.543,primary,substance,continuous
fast,overall_severity,1.084,g_anchor,overall_severity,continuous
fast25,overall_severity,0.996,g_anchor,overall_severity,continuous
fast26,overall_severity,0.602,g_anchor,overall_severity,continuous
fast27,overall_severity,0.897,g_anchor,overall_severity,continuous
fast28,overall_severity,0.419,g_anchor,overall_severity,continuous
fast30,overall_severity,0.866,g_anchor,overall_severity,continuous
ggt_lbstresc,overall_severity,0.246,bifactor_G,metabolic,continuous
ggt_lbstresc,metabolic,0.452,primary,metabolic,continuous
gluc,overall_severity,0.07,bifactor_G,metabolic,continuous
gluc,metabolic,0.168,primary,metabolic,continuous
gstabrth,overall_severity,0.003,bifactor_G,developmental_risk,continuous
gstabrth,developmental_risk,0.035,primary,developmental_risk,continuous
hba1c,overall_severity,0.334,bifactor_G,metabolic,continuous
hba1c,metabolic,0.322,primary,metabolic,continuous
hdl,overall_severity,0.227,bifactor_G,metabolic,continuous
hdl,metabolic,0.32,primary,metabolic,continuous
hrstanding,overall_severity,0.119,bifactor_G,metabolic,continuous
hrstanding,metabolic,0.115,primary,metabolic,continuous
hrsupine,overall_severity,0.204,bifactor_G,metabolic,continuous
hrsupine,metabolic,0.195,primary,metabolic,continuous
isf07,overall_severity,0.053,bifactor_G,suicidality,continuous
isf07,suicidality,0.59,primary,suicidality,continuous
ldl,overall_severity,0.02,bifactor_G,metabolic,continuous
ldl,metabolic,0.163,primary,metabolic,continuous
lvsbjind,overall_severity,0.043,g_anchor,overall_severity,continuous
lym_lbstresc,overall_severity,-0.003,bifactor_G,inflammatory,continuous
lym_lbstresc,inflammatory,0.004,primary,inflammatory,continuous
madrs,overall_severity,1.04,window,,continuous
madrs,cognition,-0.112,window,,continuous
madrs,sleep,0.1,window,,continuous
madrs,suicidality,0.021,window,,continuous
mono_lbstresc,overall_severity,-0.012,bifactor_G,inflammatory,continuous
mono_lbstresc,inflammatory,0.546,primary,inflammatory,continuous
neut,overall_severity,0.127,bifactor_G,inflammatory,continuous
neut,inflammatory,0.642,primary,inflammatory,continuous
plat,overall_severity,0.044,bifactor_G,inflammatory,continuous
plat,inflammatory,0.213,primary,inflammatory,continuous
psqi,overall_severity,0.415,bifactor_G,sleep,continuous
psqi,sleep,0.924,primary,sleep,continuous
psqi11,overall_severity,0.195,bifactor_G,sleep,continuous
psqi11,sleep,0.631,primary,sleep,continuous
psqi12,overall_severity,0.04,bifactor_G,sleep,continuous
psqi12,sleep,0.581,primary,sleep,continuous
psqi13,overall_severity,0.207,bifactor_G,sleep,continuous
psqi13,sleep,0.531,primary,sleep,continuous
psqi14,overall_severity,0.123,bifactor_G,sleep,continuous
psqi14,sleep,0.592,primary,sleep,continuous
psqi15,overall_severity,0.269,bifactor_G,sleep,continuous
psqi15,sleep,0.676,primary,sleep,continuous
psqi17,overall_severity,0.484,bifactor_G,sleep,continuous
psqi17,sleep,0.334,primary,sleep,continuous
qidsr120,overall_severity,0.783,window,,continuous
qidsr120,cognition,-0.085,window,,continuous
qidsr120,sleep,0.206,window,,continuous
qidsr120,suicidality,0.07,window,,continuous
staya,overall_severity,0.622,window,,continuous
staya,sleep,0.211,window,,continuous
sysbpstanding,overall_severity,-0.05,bifactor_G,metabolic,continuous
sysbpstanding,metabolic,0.378,primary,metabolic,continuous
sysbpsupine,overall_severity,0.067,bifactor_G,metabolic,continuous
sysbpsupine,metabolic,0.347,primary,metabolic,continuous
t3fr_lbstresc,overall_severity,-0.097,bifactor_G,metabolic,continuous
t3fr_lbstresc,metabolic,0.078,primary,metabolic,continuous
t4fr_lbstresc,overall_severity,-0.125,bifactor_G,metabolic,continuous
t4fr_lbstresc,metabolic,0.021,primary,metabolic,continuous
tmt_a_time_sec,overall_severity,0.443,bifactor_G,cognition,continuous
tmt_a_time_sec,cognition,0.591,primary,cognition,continuous
tmt_b_time_sec,overall_severity,0.385,bifactor_G,cognition,continuous
tmt_b_time_sec,cognition,0.584,primary,cognition,continuous
trig,overall_severity,0.229,bifactor_G,metabolic,continuous
trig,metabolic,0.448,primary,metabolic,continuous
tsh_lbstresc,overall_severity,-0.027,bifactor_G,metabolic,continuous
tsh_lbstresc,metabolic,0.025,primary,metabolic,continuous
urate,overall_severity,-0.11,bifactor_G,metabolic,continuous
urate,metabolic,0.476,primary,metabolic,continuous
urea_lbstresc,overall_severity,0.129,bifactor_G,metabolic,continuous
urea_lbstresc,metabolic,0.08,primary,metabolic,continuous
verbal_fluency_phonemic,overall_severity,0.286,bifactor_G,cognition,continuous
verbal_fluency_phonemic,cognition,0.48,primary,cognition,continuous
verbal_fluency_semantic,overall_severity,0.404,bifactor_G,cognition,continuous
verbal_fluency_semantic,cognition,0.525,primary,cognition,continuous
vitd,overall_severity,0.062,bifactor_G,metabolic,continuous
vitd,metabolic,0.142,primary,metabolic,continuous
wais_code_std,overall_severity,0.39,bifactor_G,cognition,continuous
wais_code_std,cognition,0.583,primary,cognition,continuous
wais_digitspan_std,overall_severity,0.192,bifactor_G,cognition,continuous
wais_digitspan_std,cognition,0.47,primary,cognition,continuous
wais_ivt_index,overall_severity,0.423,bifactor_G,cognition,continuous
wais_ivt_index,cognition,0.599,primary,cognition,continuous
wais_similitudes_std,overall_severity,0.147,bifactor_G,cognition,continuous
wais_similitudes_std,cognition,0.498,primary,cognition,continuous
wbc,overall_severity,0.01,bifactor_G,inflammatory,continuous
wbc,inflammatory,0.956,primary,inflammatory,continuous
weight,overall_severity,0.06,bifactor_G,metabolic,continuous
weight,metabolic,0.964,primary,metabolic,continuous
wstcir,overall_severity,0.124,bifactor_G,metabolic,continuous
wstcir,metabolic,0.922,primary,metabolic,continuous
wurs,overall_severity,0.203,bifactor_G,developmental_risk,continuous
wurs,developmental_risk,0.319,primary,developmental_risk,continuous
ymrs,overall_severity,-0.06,bifactor_G,mania_activation,continuous
ymrs,mania_activation,0.616,primary,mania_activation,continuous
autneuro_mhoccur,developmental_risk,0.242,primary,developmental_risk,non-gaussian
ctq41,developmental_risk,0.007,primary,developmental_risk,non-gaussian
epilepsie_mhoccur,developmental_risk,0.148,primary,developmental_risk,non-gaussian
honeonat,developmental_risk,0.076,primary,developmental_risk,non-gaussian
isf01,suicidality,2.273,primary,suicidality,non-gaussian
isf02,suicidality,2.24,primary,suicidality,non-gaussian
isf03,suicidality,2.739,primary,suicidality,non-gaussian
isf04,suicidality,2.548,primary,suicidality,non-gaussian
isf05,suicidality,2.695,primary,suicidality,non-gaussian
isf08,suicidality,1.627,primary,suicidality,non-gaussian
isf09,suicidality,1.879,primary,suicidality,non-gaussian
mere_structure,developmental_risk,0.192,primary,developmental_risk,non-gaussian
naisstyp,developmental_risk,0.084,primary,developmental_risk,non-gaussian
pere_structure,developmental_risk,0.219,primary,developmental_risk,non-gaussian
suoccur_alcool,substance,0.46,primary,substance,non-gaussian
suoccur_cannabis,substance,0.381,primary,substance,non-gaussian
traumacra_mhoccur,developmental_risk,0.284,primary,developmental_risk,non-gaussian
isf09a,suicidality,1.482,primary,suicidality,non-gaussian
sudose_cigarettes_lt,substance,0.693,primary,substance,non-gaussian
ctq40,developmental_risk,0.007,primary,developmental_risk,non-gaussian
isf08a,suicidality,1.478,primary,suicidality,non-gaussian
prembrth,developmental_risk,0.076,primary,developmental_risk,non-gaussian
